date_iso,date_human,title,company,location,apply,source,department
2025-08-14,"Aug 14, 2025","Software Engineer, Frontend - Consumer Products ",coinbase,Remote - Canada,https://www.coinbase.com/careers/positions/5961369?gh_jid=5961369,greenhouse,
2025-08-14,"Aug 14, 2025","Software Engineer, Backend - Platform ",coinbase,Remote - Canada,https://www.coinbase.com/careers/positions/5950647?gh_jid=5950647,greenhouse,
2025-08-14,"Aug 14, 2025","Software Engineer, Backend - Platform ",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/5948429?gh_jid=5948429,greenhouse,
2025-08-14,"Aug 14, 2025","Software Engineer, Backend - (Consumer - Products)",coinbase,Remote - Canada,https://www.coinbase.com/careers/positions/5961451?gh_jid=5961451,greenhouse,
2025-08-14,"Aug 14, 2025","Software Engineer, Backend (Consumer - Stablecoin)",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/5948501?gh_jid=5948501,greenhouse,
2025-08-14,"Aug 14, 2025","Senior Software Engineer, Web App Performance & Scalability",asana,"Vancouver, BC",https://www.asana.com/jobs/apply/7170100?gh_jid=7170100,greenhouse,
2025-08-14,"Aug 14, 2025","Senior Software Engineer, Fullstack (Developer - CDP API)",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/5961013?gh_jid=5961013,greenhouse,
2025-08-14,"Aug 14, 2025","Senior Software Engineer, Frontend - Risk Platform ",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/5948976?gh_jid=5948976,greenhouse,
2025-08-14,"Aug 14, 2025","Senior Software Engineer, Backend (Platform)",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/5948179?gh_jid=5948179,greenhouse,
2025-08-14,"Aug 14, 2025","Senior Software Engineer, Backend (Platform)",coinbase,Remote - Canada,https://www.coinbase.com/careers/positions/5963372?gh_jid=5963372,greenhouse,
2025-08-14,"Aug 14, 2025","Senior Software Engineer, Backend (Consumer Products)",coinbase,Remote - Canada,https://www.coinbase.com/careers/positions/5961458?gh_jid=5961458,greenhouse,
2025-08-14,"Aug 14, 2025","Senior Product Designer - (Institutional, Custody)",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/5960244?gh_jid=5960244,greenhouse,
2025-08-14,"Aug 14, 2025",Senior Data Scientist ,coinbase,Remote - USA,https://www.coinbase.com/careers/positions/5874645?gh_jid=5874645,greenhouse,
