date_iso,date_human,title,company,location,apply,source,department
2025-09-25,"Sep 25, 2025","Staff Software Engineer, GTM Engineering",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4830974008?gh_jid=4830974008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, GTM Engineering",block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4890906008?gh_jid=4890906008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, GTM Engineering",block,"Vancouver, British Columbia, Canada",http://block.xyz/careers/jobs/4830976008?gh_jid=4830976008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Global Lending",block,"San Francisco, CA, United States of America",http://block.xyz/careers/jobs/4905707008?gh_jid=4905707008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Global Lending",block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4895096008?gh_jid=4895096008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Global Lending",block,"Seattle, WA, United States of America",http://block.xyz/careers/jobs/4905709008?gh_jid=4905709008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Financial Suite Web",block,"Seattle, WA, United States of America",http://block.xyz/careers/jobs/4838903008?gh_jid=4838903008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Credit Underwriting",block,"Seattle, WA, United States of America",http://block.xyz/careers/jobs/4915445008?gh_jid=4915445008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Credit Underwriting",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4897176008?gh_jid=4897176008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Credit Underwriting",block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4915446008?gh_jid=4915446008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Credit Underwriting",block,"Kitchener, Ontario, Canada",http://block.xyz/careers/jobs/4897178008?gh_jid=4897178008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Catalog Foundations",block,"Vancouver, British Columbia, Canada",http://block.xyz/careers/jobs/4866556008?gh_jid=4866556008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Catalog Foundations",block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4889172008?gh_jid=4889172008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Software Engineer, Activation & Engagement (Growth)",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4836580008?gh_jid=4836580008,greenhouse,
2025-09-25,"Sep 25, 2025",Staff Software Engineer - Core OS Platform,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4866610008?gh_jid=4866610008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Product Designer, Growth",block,"Atlanta, GA, United States of America",http://block.xyz/careers/jobs/4900009008?gh_jid=4900009008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Product Designer, Banking",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4897618008?gh_jid=4897618008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Machine Learning Engineer, Tidal Personalization AI",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4811589008?gh_jid=4811589008,greenhouse,
